Time-(UTC),Latitude-(degN),Longitude-(degE),Secchi-depth-(m),FU-(disk-1/2-Secchi-depth)
2024-07-10 13:44:03.769,32.7713016188078,-79.92437596440308,0.84,16
2024-07-10 13:54:29.519,32.66036746560844,-79.94339299395675,0.48,13
2024-07-10 14:05:34.749,32.78830662608187,-79.96336489625332,0.49,18
2024-07-10 14:30:50.620,32.75097142941552,-79.95019788192437,0.59,18
2024-07-10 14:42:14.588,32.75503397716791,-79.9159678406173,0.96,16
2024-07-10 15:02:06.042,32.7628885129374,-79.85587846816529,0.84,18
2024-07-17 11:49:08.044,32.79313673196052,-79.87657405576664,0.48,13
2024-07-17 12:02:09.329,32.79027110279104,-79.8849907904153,0.56,13
2024-07-17 12:19:07.104,32.78953954792274,-79.91052029610984,1.13,14
2024-07-17 12:29:45.427,32.82422158274682,-79.88957424346847,0.71,15
2024-07-17 12:37:35.611,32.82518479633614,-79.87745300764293,0.69,16
2024-07-17 12:52:41.057,32.85518440846597,-79.90145804314544,0.89,13
2024-07-17 13:11:26.865,32.77216014839971,-79.92481283134806,0.66,1
2024-07-17 13:20:53.185,32.74450404572556,-79.97114195495841,0.3,18
2024-07-17 13:24:43.171,32.77609533595287,-79.95287261632821,0.62,16
2024-07-17 13:39:17.311,32.787983610580795,-79.96343723988994,0.27,18
2024-07-17 13:59:51.900,32.75092483539348,-79.95007658870396,0.43,19
2024-07-17 14:10:39.775,32.755127898302106,-79.915856280869,0.46,13
2024-07-17 14:28:14.972,32.76292424527736,-79.8560923421936,0.19,14
2024-07-19 12:59:53.751,30.022668787306195,-81.32773387253408,0.24,21
2024-07-23 14:53:46.985,39.78853460405002,-74.09740864306139,1.82,8
2024-07-24 12:38:08.939,32.79334736525341,-79.87718031459397,0.68,18
2024-07-27 21:34:43.863,39.1758536,-76.4249675,0.92,18
2024-07-28 15:35:43.342,34.1859412,-77.8152642,1.81,15
2024-07-31 11:59:11.373,32.7933833655276,-79.87654681324948,0.53,18
2024-07-31 12:09:29.041,32.790341811292215,-79.88492665517587,0.72,18
2024-07-31 12:21:47.397,32.78943366099339,-79.91099684921828,1.18,17
2024-07-31 12:34:01.928,32.8242686420514,-79.88972284678707,1.04,18
2024-07-31 12:41:56.460,32.82514941939513,-79.87743376220648,0.72,17
